order_id,customer_id,order_status,tracking_number,service_level,region,shipped_at,delivered_at,source_revision
ORD-001,customer_a,delivered,TRK-SYN-001,standard,cn-east,2026-08-13T09:00:00Z,2026-08-15T14:05:00Z,business-demo-v1-order-001-r1
ORD-002,customer_b,shipped,TRK-SYN-002,standard,cn-north,2026-08-16T09:00:00Z,,business-demo-v1-order-002-r1
ORD-003,customer_a,shipped,TRK-SYN-003,standard,cn-east,2026-08-19T09:00:00Z,,business-demo-v1-order-003-r1
ORD-004,customer_c,delivered,TRK-SYN-004,express,cn-south,2026-08-22T09:00:00Z,2026-08-24T14:05:00Z,business-demo-v1-order-004-r1
ORD-005,customer_d,delivered,TRK-SYN-005,standard,cn-north,2026-08-12T09:00:00Z,2026-08-14T14:05:00Z,business-demo-v1-order-005-r1
ORD-006,customer_e,delivered,TRK-SYN-006,standard,cn-east,2026-08-15T09:00:00Z,2026-08-17T14:05:00Z,business-demo-v1-order-006-r1
ORD-007,customer_f,delivered,TRK-SYN-007,standard,cn-south,2026-08-18T09:00:00Z,2026-08-20T14:05:00Z,business-demo-v1-order-007-r1
ORD-008,customer_g,delivered,TRK-SYN-008,express,cn-north,2026-08-21T09:00:00Z,2026-08-23T14:05:00Z,business-demo-v1-order-008-r1
ORD-009,customer_h,delivered,TRK-SYN-009,standard,cn-east,2026-08-11T09:00:00Z,2026-08-13T14:05:00Z,business-demo-v1-order-009-r1
ORD-010,customer_i,delivered,TRK-SYN-010,standard,cn-south,2026-08-14T09:00:00Z,2026-08-16T14:05:00Z,business-demo-v1-order-010-r1
ORD-011,customer_j,delivered,TRK-SYN-011,standard,cn-north,2026-08-17T09:00:00Z,2026-08-19T14:05:00Z,business-demo-v1-order-011-r1
ORD-012,customer_k,delivered,TRK-SYN-012,express,cn-east,2026-08-20T09:00:00Z,2026-08-22T14:05:00Z,business-demo-v1-order-012-r1
ORD-013,customer_l,delivered,TRK-SYN-013,standard,cn-south,2026-08-10T09:00:00Z,2026-08-12T14:05:00Z,business-demo-v1-order-013-r1
ORD-014,customer_m,delivered,TRK-SYN-014,standard,cn-north,2026-08-13T09:00:00Z,2026-08-15T14:05:00Z,business-demo-v1-order-014-r1
ORD-015,customer_n,delivered,TRK-SYN-015,standard,cn-east,2026-08-16T09:00:00Z,2026-08-18T14:05:00Z,business-demo-v1-order-015-r1
ORD-016,customer_o,delivered,TRK-SYN-016,express,cn-south,2026-08-19T09:00:00Z,2026-08-21T14:05:00Z,business-demo-v1-order-016-r1
ORD-017,customer_p,delivered,TRK-SYN-017,standard,cn-north,2026-08-22T09:00:00Z,2026-08-24T14:05:00Z,business-demo-v1-order-017-r1
ORD-018,customer_q,delivered,TRK-SYN-018,standard,cn-east,2026-08-12T09:00:00Z,2026-08-14T14:05:00Z,business-demo-v1-order-018-r1
ORD-019,customer_r,delivered,TRK-SYN-019,standard,cn-south,2026-08-15T09:00:00Z,2026-08-17T14:05:00Z,business-demo-v1-order-019-r1
ORD-020,customer_s,delivered,TRK-SYN-020,express,cn-north,2026-08-18T09:00:00Z,2026-08-20T14:05:00Z,business-demo-v1-order-020-r1
ORD-021,customer_t,delivered,TRK-SYN-021,standard,cn-east,2026-08-21T09:00:00Z,2026-08-23T14:05:00Z,business-demo-v1-order-021-r1
ORD-022,customer_a,shipped,TRK-SYN-022,standard,cn-south,2026-08-11T09:00:00Z,,business-demo-v1-order-022-r2
ORD-023,customer_b,shipped,TRK-SYN-023,standard,cn-north,2026-08-14T09:00:00Z,,business-demo-v1-order-023-r1
ORD-024,customer_c,shipped,TRK-SYN-024,express,cn-east,2026-08-17T09:00:00Z,,business-demo-v1-order-024-r1
ORD-025,customer_d,shipped,TRK-SYN-025,standard,cn-south,2026-08-20T09:00:00Z,,business-demo-v1-order-025-r1
ORD-026,customer_e,shipped,TRK-SYN-026,standard,cn-north,2026-08-10T09:00:00Z,,business-demo-v1-order-026-r1
ORD-027,customer_f,shipped,TRK-SYN-027,standard,cn-east,2026-08-13T09:00:00Z,,business-demo-v1-order-027-r1
ORD-028,customer_g,shipped,TRK-SYN-028,express,cn-south,2026-08-16T09:00:00Z,,business-demo-v1-order-028-r1
ORD-029,customer_h,shipped,TRK-SYN-029,standard,cn-north,2026-08-19T09:00:00Z,,business-demo-v1-order-029-r1
ORD-030,customer_i,shipped,TRK-SYN-030,standard,cn-east,2026-08-22T09:00:00Z,,business-demo-v1-order-030-r1
ORD-031,customer_j,shipped,TRK-SYN-031,standard,cn-south,2026-08-12T09:00:00Z,,business-demo-v1-order-031-r1
ORD-032,customer_k,shipped,TRK-SYN-032,express,cn-north,2026-08-15T09:00:00Z,,business-demo-v1-order-032-r1
ORD-033,customer_l,shipped,TRK-SYN-033,standard,cn-east,2026-08-18T09:00:00Z,,business-demo-v1-order-033-r1
ORD-034,customer_m,shipped,TRK-SYN-034,standard,cn-south,2026-08-21T09:00:00Z,,business-demo-v1-order-034-r1
ORD-035,customer_n,shipped,TRK-SYN-035,standard,cn-north,2026-08-11T09:00:00Z,,business-demo-v1-order-035-r1
ORD-036,customer_o,processing,TRK-SYN-036,express,cn-east,,,business-demo-v1-order-036-r1
ORD-037,customer_p,processing,TRK-SYN-037,standard,cn-south,,,business-demo-v1-order-037-r1
ORD-038,customer_q,processing,TRK-SYN-038,standard,cn-north,,,business-demo-v1-order-038-r1
ORD-039,customer_r,shipped,TRK-SYN-039,standard,cn-east,2026-08-10T09:00:00Z,,business-demo-v1-order-039-r2
ORD-040,customer_s,processing,TRK-SYN-040,express,cn-south,,,business-demo-v1-order-040-r1
