shipment_id,order_id,package_sequence,package_count,tracking_number,shipment_status,carrier_code
SHP-001,ORD-001,1,1,TRK-SYN-001-P01,delivered,SYN-CARRIER-2
SHP-002,ORD-002,1,1,TRK-SYN-002-P01,in_transit,SYN-CARRIER-3
SHP-003,ORD-003,1,1,TRK-SYN-003-P01,stalled,SYN-CARRIER-4
SHP-004,ORD-004,1,1,TRK-SYN-004-P01,delivered,SYN-CARRIER-1
SHP-005,ORD-005,1,1,TRK-SYN-005-P01,delivered,SYN-CARRIER-2
SHP-006,ORD-006,1,1,TRK-SYN-006-P01,delivered,SYN-CARRIER-3
SHP-007,ORD-007,1,1,TRK-SYN-007-P01,delivered,SYN-CARRIER-4
SHP-008,ORD-008,1,1,TRK-SYN-008-P01,delivered,SYN-CARRIER-1
SHP-009,ORD-009,1,1,TRK-SYN-009-P01,delivered,SYN-CARRIER-2
SHP-010,ORD-010,1,1,TRK-SYN-010-P01,delivered,SYN-CARRIER-3
SHP-011,ORD-011,1,1,TRK-SYN-011-P01,delivered,SYN-CARRIER-4
SHP-012,ORD-012,1,1,TRK-SYN-012-P01,delivered,SYN-CARRIER-1
SHP-013,ORD-013,1,1,TRK-SYN-013-P01,delivered,SYN-CARRIER-2
SHP-014,ORD-014,1,1,TRK-SYN-014-P01,delivered,SYN-CARRIER-3
SHP-015,ORD-015,1,1,TRK-SYN-015-P01,delivered,SYN-CARRIER-4
SHP-016,ORD-016,1,1,TRK-SYN-016-P01,delivered,SYN-CARRIER-1
SHP-017,ORD-017,1,1,TRK-SYN-017-P01,delivered,SYN-CARRIER-2
SHP-018,ORD-018,1,1,TRK-SYN-018-P01,delivered,SYN-CARRIER-3
SHP-019,ORD-019,1,1,TRK-SYN-019-P01,delivered,SYN-CARRIER-4
SHP-020,ORD-020,1,1,TRK-SYN-020-P01,delivered,SYN-CARRIER-1
SHP-021,ORD-021,1,1,TRK-SYN-021-P01,delivered,SYN-CARRIER-2
SHP-022,ORD-022,1,1,TRK-SYN-022-P01,in_transit,SYN-CARRIER-3
SHP-023,ORD-023,1,1,TRK-SYN-023-P01,in_transit,SYN-CARRIER-4
SHP-024,ORD-024,1,1,TRK-SYN-024-P01,in_transit,SYN-CARRIER-1
SHP-025,ORD-025,1,1,TRK-SYN-025-P01,in_transit,SYN-CARRIER-2
SHP-026,ORD-026,1,1,TRK-SYN-026-P01,in_transit,SYN-CARRIER-3
SHP-027,ORD-027,1,1,TRK-SYN-027-P01,in_transit,SYN-CARRIER-4
SHP-028,ORD-028,1,1,TRK-SYN-028-P01,in_transit,SYN-CARRIER-1
SHP-029,ORD-029,1,1,TRK-SYN-029-P01,in_transit,SYN-CARRIER-2
SHP-030,ORD-030,1,1,TRK-SYN-030-P01,in_transit,SYN-CARRIER-3
SHP-031,ORD-031,1,1,TRK-SYN-031-P01,in_transit,SYN-CARRIER-4
SHP-032,ORD-032,1,1,TRK-SYN-032-P01,in_transit,SYN-CARRIER-1
SHP-033,ORD-033,1,1,TRK-SYN-033-P01,in_transit,SYN-CARRIER-2
SHP-034,ORD-034,1,1,TRK-SYN-034-P01,in_transit,SYN-CARRIER-3
SHP-035,ORD-035,1,2,TRK-SYN-035-P01,in_transit,SYN-CARRIER-4
SHP-036,ORD-035,2,2,TRK-SYN-035-P02,in_transit,SYN-CARRIER-4
SHP-037,ORD-036,1,2,TRK-SYN-036-P01,label_created,SYN-CARRIER-1
SHP-038,ORD-036,2,2,TRK-SYN-036-P02,label_created,SYN-CARRIER-1
SHP-039,ORD-037,1,2,TRK-SYN-037-P01,label_created,SYN-CARRIER-2
SHP-040,ORD-037,2,2,TRK-SYN-037-P02,label_created,SYN-CARRIER-2
SHP-041,ORD-038,1,2,TRK-SYN-038-P01,label_created,SYN-CARRIER-3
SHP-042,ORD-038,2,2,TRK-SYN-038-P02,label_created,SYN-CARRIER-3
SHP-043,ORD-039,1,3,TRK-SYN-039-P01,delivered,SYN-CARRIER-4
SHP-044,ORD-039,2,3,TRK-SYN-039-P02,in_transit,SYN-CARRIER-4
SHP-045,ORD-039,3,3,TRK-SYN-039-P03,stalled,SYN-CARRIER-4
SHP-046,ORD-040,1,3,TRK-SYN-040-P01,label_created,SYN-CARRIER-1
SHP-047,ORD-040,2,3,TRK-SYN-040-P02,label_created,SYN-CARRIER-1
SHP-048,ORD-040,3,3,TRK-SYN-040-P03,label_created,SYN-CARRIER-1
